Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-08-10,Transportation,Cash,Study role strong hot.,248.39,12.42
2024-08-15,Subscriptions,Online,Realize entire both.,484.59,0.0
2024-08-15,Food,Cash,Civil whom public ready reach.,162.72,0.0
2024-08-02,Bills,Cash,Base particularly people carry me game.,439.04,21.95
2024-08-03,Travel,Cash,Red recently into show where its pressure establish.,414.31,0.0
2024-08-21,Travel,Cash,Generation significant between teacher center strong article.,58.9,0.0
2024-08-15,Bills,Cash,Style exist large rather who military husband.,195.07,9.75
2024-08-06,Groceries,Online,Very back before within worker.,137.83,6.89
2024-08-10,Subscriptions,Online,Respond your hospital he she chance nearly.,444.25,0.0
2024-08-19,Groceries,Online,Reflect newspaper kid within accept.,469.12,0.0
2024-08-15,Bills,Online,Character take main wear.,172.55,8.63
2024-08-13,Groceries,Cash,Treatment over talk scene protect.,38.7,0.0
2024-08-19,Food,Cash,Energy peace note unit.,279.02,13.95
2024-08-21,Groceries,Online,Purpose action though direction daughter visit.,283.62,0.0
2024-08-26,Subscriptions,Cash,Public its think who.,285.12,0.0
2024-08-01,Travel,Cash,Imagine player risk religious population.,44.04,0.0
2024-08-23,Transportation,Cash,Happy guy policy now.,100.91,5.05
2024-08-15,Groceries,Online,Identify important southern management too.,450.99,0.0
2024-08-14,Transportation,Cash,Manage hour later green.,423.1,0.0
2024-08-02,Bills,Online,Late hour ahead nature send agreement.,334.42,0.0
2024-08-23,Groceries,Online,Nation sometimes hard increase go.,369.63,18.48
2024-08-17,Transportation,Online,Knowledge should trouble physical.,352.78,0.0
2024-08-09,Subscriptions,Online,Enough left show blue buy free nation.,227.16,0.0
2024-08-21,Entertainment,Online,Car choice boy thus according.,376.17,0.0
2024-08-11,Bills,Online,Suffer indicate modern six.,192.98,0.0
2024-08-02,Transportation,Online,Stop however admit.,235.91,11.8
2024-08-14,Food,Online,Training office full international mouth teacher.,255.52,0.0
2024-08-22,Bills,Online,Onto piece long early.,145.69,0.0
2024-08-19,Subscriptions,Online,Safe bit method.,413.08,0.0
2024-08-15,Subscriptions,Cash,Miss audience method catch reflect Mrs matter later.,280.82,0.0
2024-08-08,Entertainment,Online,Response sister information TV how through dog.,243.19,12.16
2024-08-24,Entertainment,Online,Add action draw decision culture close.,485.75,0.0
2024-08-14,Travel,Online,Can so commercial black plant argue benefit.,94.45,0.0
2024-08-19,Bills,Cash,Degree phone Mrs close.,129.11,6.46
2024-08-18,Transportation,Cash,During able if into those.,133.45,0.0
2024-08-02,Subscriptions,Online,Resource size once voice central scene rich upon.,359.68,0.0
2024-08-17,Travel,Online,Determine smile increase any heavy bad trip.,409.27,0.0
2024-08-26,Groceries,Cash,Environmental whether position choice student.,213.91,0.0
2024-08-22,Groceries,Cash,Push cover just decision stuff consider.,66.03,3.3
2024-08-17,Entertainment,Cash,Base book once hair we serve theory.,293.49,14.67
2024-08-08,Entertainment,Cash,Think theory say.,215.69,0.0
