Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-05-09,Subscriptions,Online,Back true itself could lawyer use general.,317.1,0.0
2024-05-14,Groceries,Cash,Name chair computer those major tend total.,423.05,21.15
2024-05-23,Groceries,Cash,Street interview attention.,212.55,0.0
2024-05-17,Transportation,Cash,Add history threat bag.,171.56,0.0
2024-05-10,Travel,Online,Kind movie if where.,348.19,0.0
2024-05-27,Subscriptions,Cash,Here interest trial huge whose student.,253.79,0.0
2024-05-16,Groceries,Cash,Analysis community herself low direction.,397.82,0.0
2024-05-24,Entertainment,Online,Phone true live instead especially authority the.,254.36,0.0
2024-05-20,Transportation,Cash,State science truth before manage.,103.27,0.0
2024-05-01,Travel,Cash,Mouth police structure set name leave total pattern.,375.98,18.8
2024-05-24,Bills,Cash,Question blue opportunity pressure.,234.78,0.0
2024-05-01,Transportation,Online,Short executive head certain author.,29.48,0.0
2024-05-22,Transportation,Online,Year soon man well knowledge need end election.,216.56,10.83
2024-05-24,Subscriptions,Cash,Service Mr life senior shake.,56.12,0.0
2024-05-28,Subscriptions,Online,Left matter recently resource different six second.,162.46,8.12
2024-05-07,Bills,Online,Accept class person free name.,492.02,24.6
2024-05-11,Entertainment,Cash,While boy beautiful also.,241.91,12.1
2024-05-14,Travel,Online,Determine then not upon focus economic.,495.79,0.0
2024-05-16,Travel,Cash,City newspaper dream piece fear.,287.14,0.0
2024-05-25,Groceries,Online,Specific threat approach worker.,178.62,8.93
2024-05-12,Bills,Cash,Put section right pay nothing note education.,184.48,0.0
2024-05-03,Travel,Online,Start American treat parent.,280.86,14.04
2024-05-04,Subscriptions,Online,Give class politics money west doctor field.,346.43,0.0
2024-05-08,Transportation,Cash,Our save present service.,90.25,0.0
2024-05-14,Food,Online,Receive program perform member talk parent begin parent.,466.88,23.34
2024-05-15,Transportation,Cash,Around benefit a back.,407.49,0.0
2024-05-09,Entertainment,Cash,Win author opportunity include worker understand like.,470.23,0.0
2024-05-23,Groceries,Online,Prevent through state impact.,69.34,0.0
2024-05-01,Bills,Online,Blue certain war face group.,386.77,0.0
2024-05-07,Groceries,Cash,Another water speech citizen identify.,77.26,0.0
2024-05-15,Transportation,Cash,Hotel amount phone dark generation low.,481.43,24.07
2024-05-15,Groceries,Online,Last available believe store box thousand American.,271.85,0.0
2024-05-11,Groceries,Online,Year cold knowledge chair boy.,177.69,0.0
