Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-10-03,Transportation,Online,Strong rule development car simple common produce.,347.02,17.35
2024-10-04,Entertainment,Cash,What throughout pressure leave community cold.,113.05,0.0
2024-10-24,Groceries,Cash,Nearly start world safe avoid himself.,322.02,0.0
2024-10-08,Travel,Cash,Feel reality five market require suffer.,333.64,0.0
2024-10-15,Groceries,Online,Population position meet.,452.25,22.61
2024-10-06,Food,Cash,Difference cell land house forward.,458.35,0.0
2024-10-04,Transportation,Online,These listen authority financial customer.,141.02,7.05
2024-10-24,Transportation,Cash,Sister two vote cause trip.,147.23,7.36
2024-10-19,Food,Online,Type effort factor party.,426.83,21.34
2024-10-14,Groceries,Cash,Trial lose respond painting low situation production.,163.71,0.0
2024-10-11,Entertainment,Cash,Society science realize else class.,317.15,0.0
2024-10-13,Travel,Online,Ahead yeah significant call edge tough technology.,404.02,20.2
2024-10-14,Entertainment,Cash,Firm we go close.,485.42,0.0
2024-10-15,Entertainment,Cash,Surface black laugh address determine.,314.56,15.73
2024-10-10,Travel,Cash,Pattern series west bag outside message.,294.99,0.0
2024-10-12,Entertainment,Online,Very cell TV pass effect.,77.37,0.0
2024-10-17,Bills,Cash,Forward manager when share.,346.76,0.0
2024-10-02,Transportation,Cash,Energy travel authority call city.,251.06,0.0
2024-10-13,Food,Cash,But despite nation apply.,335.71,16.79
2024-10-10,Travel,Online,Detail nothing activity station PM control cause time.,274.87,0.0
2024-10-08,Bills,Online,Bag present compare buy.,356.18,0.0
2024-10-14,Subscriptions,Online,Somebody long born.,250.93,0.0
2024-10-18,Food,Online,Car opportunity east necessary.,432.68,21.63
2024-10-13,Food,Online,Decision rest yet way.,238.39,0.0
2024-10-12,Transportation,Online,Opportunity mother outside fall career source fund.,261.2,0.0
2024-10-22,Bills,Online,Feeling medical cup morning.,75.22,0.0
2024-10-25,Entertainment,Cash,Chair PM TV like eye field name.,260.18,0.0
2024-10-20,Bills,Online,Western past choose machine.,222.1,0.0
2024-10-26,Transportation,Online,Stage true some operation improve explain.,14.05,0.7
2024-10-22,Bills,Online,Table couple result hot image cup city.,225.24,0.0
2024-10-11,Food,Cash,Option couple much enjoy staff.,203.79,0.0
2024-10-11,Food,Cash,Against range cold hour college see.,254.89,0.0
2024-10-16,Entertainment,Online,Company air environment account.,76.34,0.0
