Date,Category,Payment_Mode,Description,Amount_Paid,Cashback
2024-11-16,Transportation,Cash,Today throughout center guy minute include.,426.22,0.0
2024-11-06,Food,Cash,Big choose specific commercial organization participant.,344.86,0.0
2024-11-19,Entertainment,Online,Mean positive common meet strategy.,299.74,0.0
2024-11-11,Food,Online,Program day week character place difficult.,51.42,0.0
2024-11-23,Subscriptions,Online,Growth president thing believe give effort.,303.88,15.19
2024-11-05,Travel,Online,Fund able sing term.,384.05,0.0
2024-11-10,Food,Online,Growth same matter bag.,447.4,0.0
2024-11-14,Bills,Online,Where keep high next.,306.05,15.3
2024-11-02,Transportation,Cash,Read because itself family fear.,344.3,0.0
2024-11-21,Groceries,Cash,Deep voice reason.,444.75,0.0
2024-11-08,Subscriptions,Online,Full adult list compare beautiful agree size.,42.5,0.0
2024-11-19,Entertainment,Cash,Focus mission growth sense man.,234.66,0.0
2024-11-14,Groceries,Cash,Collection sister trouble set fast we attention apply.,220.01,0.0
2024-11-03,Food,Online,Well staff statement late strategy.,359.33,0.0
2024-11-09,Groceries,Online,Charge alone test thank east someone note.,22.93,0.0
2024-11-28,Bills,Online,Word ability decade career.,136.93,6.85
2024-11-11,Food,Cash,Chance me fill anyone.,489.39,0.0
2024-11-07,Transportation,Cash,Prove perhaps group mouth next later detail.,395.04,0.0
2024-11-24,Food,Online,Maybe building similar western.,271.07,0.0
2024-11-20,Bills,Cash,Likely entire market sure.,287.73,0.0
2024-11-13,Bills,Online,Crime page relationship address human.,284.16,0.0
2024-11-06,Subscriptions,Cash,Daughter play write understand blue stay theory.,492.99,0.0
2024-11-28,Bills,Cash,Resource arrive talk newspaper fact final.,403.67,0.0
2024-11-12,Food,Online,Woman billion possible response success authority day leave.,195.57,0.0
2024-11-09,Travel,Online,End Congress pull live machine.,239.25,0.0
2024-11-04,Bills,Cash,Option station rich star treat you.,218.84,0.0
2024-11-03,Subscriptions,Online,Thousand push while investment best hold.,302.33,0.0
2024-11-05,Entertainment,Online,High ahead president.,336.93,16.85
2024-11-24,Travel,Online,Chance participant than.,465.78,0.0
2024-11-24,Travel,Online,Beat glass knowledge beautiful husband.,157.86,0.0
2024-11-13,Travel,Cash,Wonder common control around know onto.,217.46,0.0
2024-11-18,Subscriptions,Cash,Traditional find purpose structure step white adult.,420.86,0.0
2024-11-21,Travel,Online,Could treatment what company here.,46.18,2.31
2024-11-23,Groceries,Online,Save sport impact notice western.,446.17,0.0
2024-11-20,Bills,Cash,Here provide bit war.,449.53,22.48
2024-11-14,Food,Online,Treatment black week nor southern lead condition.,261.28,13.06
2024-11-09,Entertainment,Cash,Decision across tonight edge message.,494.46,24.72
2024-11-16,Subscriptions,Cash,Road she idea avoid party national.,172.68,0.0
2024-11-14,Subscriptions,Online,Major two Congress they treat.,123.72,0.0
2024-11-08,Entertainment,Online,Reflect professor pattern quite sure news.,262.62,0.0
2024-11-14,Bills,Cash,Probably wind simple build news along crime more.,58.89,0.0
2024-11-11,Bills,Cash,Deep material require spend threat.,140.06,0.0
2024-11-15,Travel,Cash,Break two wrong as.,23.01,0.0
2024-11-19,Groceries,Online,Forward defense citizen fire term run drive.,398.0,19.9
2024-11-21,Bills,Online,People eye live inside situation.,423.76,0.0
2024-11-19,Bills,Cash,Season group people ability bring guy.,10.75,0.0
2024-11-22,Entertainment,Cash,Space available discuss culture speak particular stuff.,79.55,0.0
2024-11-25,Travel,Cash,Raise past oil sound next behind.,381.67,19.08
2024-11-21,Bills,Online,Lose sort just design record job.,16.69,0.83
2024-11-05,Travel,Online,Phone entire however power.,190.95,0.0
2024-11-04,Bills,Cash,Draw democratic three benefit sign laugh.,326.47,0.0
2024-11-23,Travel,Cash,Room condition shake book hour safe keep.,14.27,0.0
2024-11-02,Subscriptions,Cash,Simply keep political test campaign.,215.23,0.0
2024-11-03,Entertainment,Online,Hundred set special second treat.,157.12,0.0
2024-11-21,Bills,Cash,Main from expert parent structure past.,28.86,0.0
